order_id,customer_id,order_date,status,payment_method,shipping_cost,campaign_id
1,16614,2025-05-19,Delivered,UPI,94.44,1.0
2,6948,2025-02-12,Delivered,Debit Card,148.03,
3,14046,2025-04-17,Delivered,Credit Card,125.97,
4,1033,2025-06-15,Delivered,UPI,57.74,6.0
5,9365,2025-02-20,Delivered,Credit Card,217.15,
6,18829,2025-02-12,Delivered,UPI,176.72,
7,5599,2025-06-24,Delivered,Debit Card,135.52,5.0
8,1019,2025-05-26,Delivered,Credit Card,69.39,4.0
9,11706,2025-11-15,Delivered,Debit Card,190.36,5.0
10,7166,2025-01-11,Delivered,Wallet,78.69,
11,7639,2025-10-21,Delivered,Credit Card,191.58,
12,11693,2025-03-23,Delivered,Net Banking,163.98,
13,12481,2025-11-25,Delivered,UPI,164.01,
14,8813,2025-04-23,Delivered,UPI,188.88,
15,10232,2025-08-03,Delivered,UPI,197.68,5.0
16,19883,2025-04-11,Delivered,Wallet,126.16,5.0
17,19188,2025-06-11,Delivered,Wallet,149.34,1.0
18,14077,2025-04-04,Delivered,COD,80.49,
19,3260,2025-05-26,Delivered,Wallet,167.34,7.0
20,7274,2025-11-21,Delivered,Credit Card,122.29,
21,17703,2025-10-01,Delivered,Credit Card,184.66,2.0
22,8534,2025-05-12,Delivered,UPI,208.83,
23,19161,2025-11-18,Delivered,Net Banking,120.74,
24,9861,2025-01-19,Cancelled,Net Banking,74.01,
25,17239,2025-10-04,Shipped,Credit Card,80.1,
26,726,2025-09-03,Delivered,Wallet,165.35,
27,8748,2025-05-27,Delivered,Credit Card,117.12,3.0
28,13952,2025-06-11,Delivered,Net Banking,48.62,
29,17286,2025-05-29,Delivered,Credit Card,117.75,2.0
30,12266,2025-09-09,Delivered,UPI,201.56,1.0
31,3469,2025-04-04,Delivered,COD,120.02,
32,17765,2025-12-30,Delivered,Debit Card,64.73,
33,11511,2025-01-02,Shipped,UPI,184.89,
34,2163,2025-07-02,Delivered,Credit Card,68.32,
35,9361,2025-04-01,Delivered,Wallet,59.62,
36,13925,2025-05-20,Delivered,Credit Card,161.42,
37,9122,2025-11-20,Delivered,Wallet,199.43,
38,17436,2025-05-21,Delivered,Credit Card,67.33,2.0
39,8537,2025-03-25,Delivered,UPI,177.71,
40,11713,2025-05-24,Delivered,COD,96.63,
41,4285,2025-05-07,Shipped,UPI,153.63,
42,10343,2025-07-18,Delivered,UPI,210.48,4.0
43,4530,2025-12-01,Delivered,Credit Card,149.39,
44,4579,2025-10-01,Delivered,Credit Card,44.74,
45,5702,2025-11-16,Delivered,UPI,154.52,4.0
46,913,2025-04-30,Delivered,UPI,129.18,
47,3292,2025-01-11,Delivered,Net Banking,191.18,1.0
48,8553,2025-05-22,Delivered,Credit Card,151.22,
49,2651,2025-10-04,Delivered,Wallet,132.93,
50,2705,2025-04-20,Delivered,COD,139.74,
51,19399,2025-04-20,Delivered,UPI,173.59,
52,8596,2025-02-04,Delivered,Credit Card,161.22,2.0
53,8115,2025-03-23,Delivered,Credit Card,116.64,
54,5491,2025-10-12,Delivered,UPI,135.94,
55,10338,2025-07-18,Delivered,UPI,203.77,
56,11965,2025-01-25,Delivered,Credit Card,210.34,
57,8433,2025-12-31,Delivered,Credit Card,74.17,3.0
58,7921,2025-08-10,Delivered,Net Banking,197.68,6.0
59,13956,2025-03-02,Delivered,Wallet,141.31,
60,19069,2025-01-18,Shipped,Debit Card,77.89,3.0
61,17581,2025-08-06,Delivered,Credit Card,99.29,
62,2419,2025-04-10,Delivered,UPI,48.77,
63,13060,2025-04-09,Delivered,Debit Card,132.05,
64,129,2025-07-13,Delivered,Wallet,136.27,6.0
65,12696,2025-07-02,Delivered,Credit Card,165.4,
66,9372,2025-05-22,Shipped,UPI,59.44,5.0
67,9904,2025-11-04,Delivered,UPI,175.61,6.0
68,11812,2025-06-06,Delivered,UPI,171.25,6.0
69,14785,2025-06-26,Shipped,UPI,126.8,2.0
70,14542,2025-09-04,Cancelled,Credit Card,168.87,2.0
71,922,2025-10-07,Delivered,Credit Card,63.81,
72,14675,2025-05-26,Delivered,COD,199.81,
73,16582,2025-07-23,Delivered,UPI,213.73,
74,1373,2025-07-16,Delivered,Credit Card,214.21,
75,6512,2025-11-25,Delivered,UPI,110.15,8.0
76,15860,2025-06-13,Delivered,Debit Card,190.27,
77,9941,2025-06-30,Delivered,Net Banking,111.25,
78,13839,2025-08-13,Delivered,Credit Card,61.09,8.0
79,10136,2025-09-19,Delivered,Wallet,140.33,
80,19621,2025-01-01,Delivered,Credit Card,110.68,4.0
81,18806,2025-09-13,Cancelled,Credit Card,84.02,7.0
82,5727,2025-02-28,Delivered,UPI,158.87,
83,7770,2025-12-24,Delivered,Credit Card,170.22,
84,8678,2025-05-21,Delivered,COD,175.15,4.0
85,2079,2025-07-08,Delivered,UPI,67.55,
86,8123,2025-01-26,Delivered,COD,208.75,
87,15510,2025-11-23,Delivered,Wallet,59.74,
88,16922,2025-04-08,Delivered,UPI,74.78,
89,17769,2025-05-02,Delivered,Credit Card,129.58,7.0
90,293,2025-09-01,Delivered,Credit Card,72.49,
91,15790,2025-01-03,Delivered,Debit Card,46.99,
92,10141,2025-12-29,Delivered,UPI,162.44,6.0
93,4177,2025-07-18,Delivered,UPI,55.19,
94,10066,2025-11-12,Delivered,Credit Card,161.06,
95,16874,2025-12-04,Delivered,Credit Card,205.49,
96,8749,2025-01-01,Shipped,Credit Card,194.16,
97,19839,2025-06-17,Delivered,UPI,170.57,5.0
98,12401,2025-11-28,Delivered,UPI,52.14,
99,9883,2025-09-30,Delivered,Credit Card,101.62,
100,5993,2025-10-14,Delivered,Debit Card,127.33,
101,215,2025-08-03,Delivered,Credit Card,183.76,
102,12285,2025-12-24,Delivered,Debit Card,188.98,
103,11576,2025-02-08,Delivered,COD,189.26,
104,10418,2025-11-22,Cancelled,UPI,93.45,
105,10785,2025-09-24,Delivered,UPI,148.26,
106,16856,2025-08-02,Delivered,Credit Card,110.34,7.0
107,6410,2025-09-20,Delivered,COD,116.31,2.0
108,11029,2025-10-27,Delivered,Wallet,153.0,
109,13551,2025-03-14,Shipped,COD,67.32,7.0
110,4258,2025-03-28,Shipped,Wallet,174.74,7.0
111,18593,2025-04-07,Cancelled,Credit Card,61.46,8.0
112,14691,2025-05-17,Shipped,Credit Card,188.9,3.0
113,1078,2025-08-09,Delivered,Debit Card,217.71,1.0
114,17320,2025-12-05,Delivered,Credit Card,143.12,3.0
115,18689,2025-04-11,Shipped,Credit Card,194.59,
116,15880,2025-08-04,Cancelled,Net Banking,155.8,
117,8578,2025-12-24,Delivered,Wallet,98.61,2.0
118,19906,2025-09-23,Delivered,Credit Card,92.6,2.0
119,2527,2025-06-18,Cancelled,Credit Card,95.61,
120,10761,2025-01-28,Delivered,COD,54.42,
121,3427,2025-05-08,Delivered,Debit Card,88.96,5.0
122,8863,2025-05-07,Shipped,Credit Card,164.31,
123,18646,2025-09-22,Delivered,Net Banking,213.34,
124,15898,2025-03-08,Delivered,Net Banking,160.66,3.0
125,15650,2025-07-13,Delivered,Credit Card,77.99,1.0
126,7132,2025-06-06,Delivered,Credit Card,167.6,3.0
127,18773,2025-02-23,Delivered,Wallet,85.18,5.0
128,7448,2025-11-28,Delivered,Net Banking,41.3,
129,818,2025-09-01,Delivered,UPI,52.56,
130,12784,2025-09-22,Delivered,Credit Card,164.33,7.0
131,7328,2025-06-04,Cancelled,UPI,60.98,1.0
132,3112,2025-11-13,Delivered,Net Banking,47.19,
133,18777,2025-12-09,Delivered,Credit Card,56.54,
134,12772,2025-01-10,Delivered,Debit Card,184.52,
135,18879,2025-06-26,Delivered,Debit Card,219.02,
136,11707,2025-09-21,Delivered,Net Banking,172.68,
137,1299,2025-11-12,Shipped,UPI,72.02,5.0
138,618,2025-10-29,Delivered,Credit Card,151.15,4.0
139,18120,2025-12-26,Delivered,Net Banking,208.78,
140,792,2025-10-20,Delivered,Wallet,174.4,
141,12371,2025-02-17,Delivered,UPI,217.48,
142,6039,2025-03-03,Delivered,UPI,185.6,8.0
143,13698,2025-12-17,Cancelled,UPI,132.29,
144,5793,2025-01-09,Delivered,Debit Card,62.77,
145,760,2025-05-28,Delivered,UPI,104.05,5.0
146,14559,2025-06-19,Delivered,COD,153.14,4.0
147,6294,2025-04-13,Delivered,Debit Card,127.11,6.0
148,11036,2025-10-11,Cancelled,UPI,40.45,
149,15494,2025-11-11,Delivered,Net Banking,84.97,6.0
150,13994,2025-12-18,Delivered,Debit Card,97.91,
151,7017,2025-12-22,Delivered,Debit Card,165.56,
152,14903,2025-06-03,Delivered,UPI,156.82,
153,18608,2025-12-15,Delivered,UPI,184.19,
154,12273,2025-07-10,Delivered,Debit Card,95.1,
155,14010,2025-11-11,Delivered,Net Banking,204.23,2.0
156,17334,2025-10-29,Delivered,Debit Card,186.57,
157,16857,2025-03-30,Shipped,Wallet,68.13,3.0
158,7088,2025-08-11,Delivered,Net Banking,210.32,6.0
159,19856,2025-12-23,Cancelled,Credit Card,219.05,7.0
160,584,2025-07-25,Cancelled,Wallet,129.77,
161,19770,2025-07-23,Delivered,Debit Card,162.38,
162,5047,2025-09-03,Delivered,Wallet,135.79,5.0
163,8901,2025-12-10,Delivered,Credit Card,42.25,5.0
164,17718,2025-06-01,Delivered,Wallet,150.13,8.0
165,4998,2025-01-15,Delivered,Debit Card,200.33,
166,4572,2025-03-12,Delivered,Debit Card,131.86,3.0
167,12885,2025-12-20,Delivered,Debit Card,48.06,
168,14047,2025-04-14,Delivered,Debit Card,219.1,8.0
169,134,2025-10-15,Delivered,Credit Card,58.64,8.0
170,9111,2025-05-30,Delivered,UPI,217.27,
171,9874,2025-01-14,Delivered,Credit Card,195.43,2.0
172,5565,2025-05-11,Delivered,Wallet,198.91,
173,10950,2025-06-11,Shipped,Wallet,203.79,3.0
174,3132,2025-04-02,Shipped,COD,49.54,
175,6523,2025-12-22,Delivered,Debit Card,210.3,
176,14202,2025-12-29,Delivered,Debit Card,166.62,7.0
177,17496,2025-04-20,Delivered,Credit Card,63.79,
178,11835,2025-12-19,Delivered,UPI,95.13,
179,1505,2025-12-07,Delivered,UPI,153.41,
180,13533,2025-12-16,Delivered,Debit Card,217.5,8.0
181,18048,2025-10-13,Shipped,Net Banking,113.18,
182,10172,2025-07-11,Delivered,Debit Card,151.9,
183,9953,2025-06-11,Delivered,COD,133.07,
184,19851,2025-01-11,Delivered,Wallet,188.12,
185,12758,2025-03-25,Delivered,Wallet,143.0,
186,16123,2025-10-14,Delivered,Debit Card,124.83,
187,12948,2025-02-12,Delivered,UPI,132.86,2.0
188,4491,2025-01-05,Cancelled,Net Banking,50.45,
189,5782,2025-10-30,Delivered,Credit Card,122.61,
190,13299,2025-06-03,Delivered,Debit Card,80.09,
191,9216,2025-06-04,Delivered,UPI,162.5,
192,8133,2025-04-18,Delivered,Debit Card,186.85,6.0
193,449,2025-11-13,Shipped,UPI,148.85,
194,17730,2025-11-06,Delivered,Credit Card,127.7,8.0
195,17736,2025-07-17,Delivered,UPI,204.01,
196,9305,2025-08-18,Delivered,Credit Card,60.91,8.0
197,13958,2025-04-07,Delivered,Credit Card,49.53,2.0
198,3569,2025-02-25,Delivered,UPI,67.29,
199,10164,2025-05-11,Delivered,UPI,186.16,
200,8854,2025-10-25,Delivered,UPI,115.21,
201,13135,2025-11-29,Delivered,Debit Card,116.78,5.0
202,9479,2025-06-13,Cancelled,Debit Card,171.33,4.0
203,10060,2025-12-01,Delivered,Debit Card,83.92,5.0
204,6011,2025-04-27,Delivered,Credit Card,168.63,
205,997,2025-05-29,Delivered,Net Banking,45.33,4.0
206,18452,2025-05-06,Delivered,Debit Card,72.36,
207,239,2025-04-06,Shipped,Debit Card,171.83,8.0
208,5732,2025-06-06,Delivered,UPI,174.65,
209,9048,2025-05-13,Delivered,UPI,185.95,8.0
210,6458,2025-03-26,Delivered,Credit Card,184.73,4.0
211,11055,2025-07-26,Delivered,Credit Card,61.98,
212,9316,2025-09-14,Delivered,COD,56.39,
213,5251,2025-10-14,Delivered,Credit Card,140.18,
214,1749,2025-10-30,Delivered,Debit Card,102.36,
