product_id,product_name,category,subcategory,brand,unit_cost,list_price
1,Mira Phones Product 0001,Electronics,Phones,Mira,21482.72,43348.18
2,Aster Accessories Product 0002,Electronics,Accessories,Aster,2967.0,5732.45
3,Vertex Sportswear Product 0003,Sports,Sportswear,Vertex,482.48,781.7
4,Mira Makeup Product 0004,Beauty,Makeup,Mira,613.04,1258.41
5,Aster Footwear Product 0005,Fashion,Footwear,Aster,1505.17,3175.62
6,Prime Outdoor Product 0006,Sports,Outdoor,Prime,5432.86,10720.13
7,UrbanX Kitchen Product 0007,Home,Kitchen,UrbanX,8616.11,17090.07
8,Prime Men Product 0008,Fashion,Men,Prime,4566.54,10650.27
9,Pulse Running Product 0009,Sports,Running,Pulse,6180.31,11592.97
10,Vertex Outdoor Product 0010,Sports,Outdoor,Vertex,2743.15,5823.38
11,Prime Outdoor Product 0011,Sports,Outdoor,Prime,6375.76,16678.22
12,Nova Sportswear Product 0012,Sports,Sportswear,Nova,3948.34,6756.31
13,UrbanX Accessories Product 0013,Electronics,Accessories,UrbanX,51609.92,85560.78
14,Pulse Outdoor Product 0014,Sports,Outdoor,Pulse,6930.11,19464.27
15,Nexa Women Product 0015,Fashion,Women,Nexa,6734.36,11664.25
16,Prime Kitchen Product 0016,Home,Kitchen,Prime,11781.81,21454.74
17,Aster Women Product 0017,Fashion,Women,Aster,6491.5,12553.15
18,Orion Running Product 0018,Sports,Running,Orion,12661.68,20937.79
19,Mira Furniture Product 0019,Home,Furniture,Mira,16203.87,26683.2
20,Nova Furniture Product 0020,Home,Furniture,Nova,744.95,1251.01
21,Nova Laptops Product 0021,Electronics,Laptops,Nova,2563.73,6149.66
22,Prime Furniture Product 0022,Home,Furniture,Prime,11067.68,17700.68
23,Pulse Accessories Product 0023,Electronics,Accessories,Pulse,36720.52,75763.11
24,UrbanX Phones Product 0024,Electronics,Phones,UrbanX,22956.25,53629.67
25,Mira Haircare Product 0025,Beauty,Haircare,Mira,1804.88,5237.16
26,Vertex Phones Product 0026,Electronics,Phones,Vertex,16030.91,29845.92
27,Aster Decor Product 0027,Home,Decor,Aster,6056.0,11663.5
28,Orion Sportswear Product 0028,Sports,Sportswear,Orion,1683.96,2664.67
29,Nexa Sportswear Product 0029,Sports,Sportswear,Nexa,2204.38,3345.49
30,UrbanX Laptops Product 0030,Electronics,Laptops,UrbanX,10499.2,19415.45
31,Mira Outdoor Product 0031,Sports,Outdoor,Mira,5234.08,11517.62
32,Pulse Bags Product 0032,Fashion,Bags,Pulse,3732.4,8809.09
33,Pulse Women Product 0033,Fashion,Women,Pulse,2189.22,5723.14
34,Nexa Men Product 0034,Fashion,Men,Nexa,1016.27,2269.19
35,Mira Running Product 0035,Sports,Running,Mira,5997.51,14554.58
36,Mira Bags Product 0036,Fashion,Bags,Mira,4999.14,12411.52
37,Orion Storage Product 0037,Home,Storage,Orion,8983.13,24772.71
38,Pulse Kitchen Product 0038,Home,Kitchen,Pulse,8605.72,21570.55
39,Vertex Audio Product 0039,Electronics,Audio,Vertex,24866.51,42714.9
40,Orion Furniture Product 0040,Home,Furniture,Orion,898.35,1539.65
41,Orion Storage Product 0041,Home,Storage,Orion,6646.18,17278.36
42,Vertex Footwear Product 0042,Fashion,Footwear,Vertex,6150.09,14681.25
43,Nexa Footwear Product 0043,Fashion,Footwear,Nexa,4451.07,12318.19
44,Aster Storage Product 0044,Home,Storage,Aster,11646.25,26969.99
45,Prime Accessories Product 0045,Electronics,Accessories,Prime,11584.35,34139.77
46,Pulse Running Product 0046,Sports,Running,Pulse,7000.29,11728.56
47,UrbanX Footwear Product 0047,Fashion,Footwear,UrbanX,6000.79,14772.59
48,Prime Haircare Product 0048,Beauty,Haircare,Prime,2564.03,5273.65
49,Zenith Outdoor Product 0049,Sports,Outdoor,Zenith,10211.24,22776.11
50,Mira Kitchen Product 0050,Home,Kitchen,Mira,10637.29,29721.1
51,Vertex Storage Product 0051,Home,Storage,Vertex,3970.32,6571.46
52,UrbanX Accessories Product 0052,Electronics,Accessories,UrbanX,49865.81,93611.59
53,UrbanX Phones Product 0053,Electronics,Phones,UrbanX,13711.53,33161.28
54,Orion Accessories Product 0054,Electronics,Accessories,Orion,45350.97,81286.61
55,Nexa Sportswear Product 0055,Sports,Sportswear,Nexa,9391.93,20477.41
56,Vertex Bags Product 0056,Fashion,Bags,Vertex,868.46,1920.61
57,Orion Fitness Product 0057,Sports,Fitness,Orion,3645.23,5888.46
58,Nexa Makeup Product 0058,Beauty,Makeup,Nexa,1101.94,2490.14
59,Zenith Accessories Product 0059,Electronics,Accessories,Zenith,1109.89,2100.24
60,Zenith Haircare Product 0060,Beauty,Haircare,Zenith,2395.83,5287.8
61,Zenith Haircare Product 0061,Beauty,Haircare,Zenith,294.96,586.98
62,Orion Accessories Product 0062,Electronics,Accessories,Orion,33613.24,72744.72
63,Mira Bags Product 0063,Fashion,Bags,Mira,1174.67,1855.25
64,Nova Women Product 0064,Fashion,Women,Nova,637.21,1122.65
65,Zenith Furniture Product 0065,Home,Furniture,Zenith,12907.72,20884.39
66,Orion Fitness Product 0066,Sports,Fitness,Orion,6677.01,14178.86
67,Vertex Personal Care Product 0067,Beauty,Personal Care,Vertex,2589.31,6906.04
68,Prime Fitness Product 0068,Sports,Fitness,Prime,5950.43,15729.97
69,Zenith Accessories Product 0069,Electronics,Accessories,Zenith,9689.86,17276.4
70,Prime Outdoor Product 0070,Sports,Outdoor,Prime,10306.73,18136.21
71,Nova Women Product 0071,Fashion,Women,Nova,4834.13,9734.8
72,Zenith Men Product 0072,Fashion,Men,Zenith,5782.27,9663.83
73,Nexa Outdoor Product 0073,Sports,Outdoor,Nexa,5599.92,10060.79
74,Zenith Decor Product 0074,Home,Decor,Zenith,13677.39,33302.07
75,Zenith Footwear Product 0075,Fashion,Footwear,Zenith,3351.04,7154.7
76,Vertex Footwear Product 0076,Fashion,Footwear,Vertex,2392.03,4746.86
77,Vertex Furniture Product 0077,Home,Furniture,Vertex,6013.6,12850.1
78,Vertex Storage Product 0078,Home,Storage,Vertex,3395.5,8562.46
79,Orion Outdoor Product 0079,Sports,Outdoor,Orion,560.62,1072.93
80,Orion Makeup Product 0080,Beauty,Makeup,Orion,675.13,1269.51
81,Orion Laptops Product 0081,Electronics,Laptops,Orion,46042.39,87611.08
82,Nexa Running Product 0082,Sports,Running,Nexa,7881.03,17989.52
83,Vertex Fitness Product 0083,Sports,Fitness,Vertex,1570.89,3482.78
84,Aster Laptops Product 0084,Electronics,Laptops,Aster,29203.8,60836.12
85,Nova Bags Product 0085,Fashion,Bags,Nova,6145.04,12910.24
86,Orion Storage Product 0086,Home,Storage,Orion,1542.37,3183.51
87,Nova Bags Product 0087,Fashion,Bags,Nova,3943.95,6459.16
88,Nova Personal Care Product 0088,Beauty,Personal Care,Nova,3955.19,6628.98
89,Mira Kitchen Product 0089,Home,Kitchen,Mira,1173.43,2408.53
90,Zenith Decor Product 0090,Home,Decor,Zenith,8686.99,17195.02
91,UrbanX Storage Product 0091,Home,Storage,UrbanX,5831.64,11379.47
92,UrbanX Men Product 0092,Fashion,Men,UrbanX,239.92,462.42
93,Zenith Bags Product 0093,Fashion,Bags,Zenith,3477.64,5641.35
94,Aster Skincare Product 0094,Beauty,Skincare,Aster,3294.12,6392.08
95,Vertex Skincare Product 0095,Beauty,Skincare,Vertex,3330.89,7028.23
96,UrbanX Outdoor Product 0096,Sports,Outdoor,UrbanX,2960.43,6949.85
97,Nova Running Product 0097,Sports,Running,Nova,9085.21,18007.04
98,Orion Bags Product 0098,Fashion,Bags,Orion,5130.82,10110.6
99,Vertex Makeup Product 0099,Beauty,Makeup,Vertex,1001.67,2754.39
100,Orion Personal Care Product 0100,Beauty,Personal Care,Orion,3102.41,5726.69
101,Nexa Skincare Product 0101,Beauty,Skincare,Nexa,1704.59,4634.32
102,Prime Footwear Product 0102,Fashion,Footwear,Prime,967.26,1963.67
103,Prime Skincare Product 0103,Beauty,Skincare,Prime,4387.48,7460.72
104,Nova Skincare Product 0104,Beauty,Skincare,Nova,1253.64,3483.74
105,Pulse Footwear Product 0105,Fashion,Footwear,Pulse,2727.03,5666.13
106,Nova Furniture Product 0106,Home,Furniture,Nova,17400.68,35566.34
107,Mira Decor Product 0107,Home,Decor,Mira,6386.74,11111.61
108,Zenith Kitchen Product 0108,Home,Kitchen,Zenith,12979.58,23447.81
109,UrbanX Women Product 0109,Fashion,Women,UrbanX,2667.79,5776.7
110,UrbanX Men Product 0110,Fashion,Men,UrbanX,6994.65,12317.79
111,Prime Women Product 0111,Fashion,Women,Prime,7075.56,13713.8
112,Aster Kitchen Product 0112,Home,Kitchen,Aster,17640.78,28370.31
113,UrbanX Footwear Product 0113,Fashion,Footwear,UrbanX,1562.74,3396.18
114,Zenith Storage Product 0114,Home,Storage,Zenith,14740.64,26775.06
115,Nexa Decor Product 0115,Home,Decor,Nexa,2113.35,4103.88
116,Pulse Bags Product 0116,Fashion,Bags,Pulse,2689.7,5638.38
117,Nova Women Product 0117,Fashion,Women,Nova,5162.04,8686.53
118,Mira Phones Product 0118,Electronics,Phones,Mira,37037.67,75913.25
119,Prime Sportswear Product 0119,Sports,Sportswear,Prime,2621.2,4622.7
120,Pulse Men Product 0120,Fashion,Men,Pulse,3687.31,9650.09
121,Aster Outdoor Product 0121,Sports,Outdoor,Aster,7353.53,17149.93
122,Aster Fitness Product 0122,Sports,Fitness,Aster,3399.49,9243.45
123,Vertex Furniture Product 0123,Home,Furniture,Vertex,13795.56,34805.92
124,Orion Storage Product 0124,Home,Storage,Orion,12354.15,28510.78
125,Aster Outdoor Product 0125,Sports,Outdoor,Aster,8688.26,18206.26
126,Pulse Personal Care Product 0126,Beauty,Personal Care,Pulse,2041.07,4878.87
127,Zenith Outdoor Product 0127,Sports,Outdoor,Zenith,9488.54,17319.36
128,Nova Skincare Product 0128,Beauty,Skincare,Nova,419.61,977.06
129,UrbanX Outdoor Product 0129,Sports,Outdoor,UrbanX,10778.73,18425.99
130,UrbanX Laptops Product 0130,Electronics,Laptops,UrbanX,41883.77,70160.77
131,UrbanX Audio Product 0131,Electronics,Audio,UrbanX,27398.46,49793.2
132,Nova Phones Product 0132,Electronics,Phones,Nova,35414.41,70376.28
133,Nova Outdoor Product 0133,Sports,Outdoor,Nova,10200.32,18181.8
134,Pulse Footwear Product 0134,Fashion,Footwear,Pulse,5637.49,9734.8
135,Nexa Audio Product 0135,Electronics,Audio,Nexa,33899.54,63842.5
136,Prime Fitness Product 0136,Sports,Fitness,Prime,7717.92,12273.98
137,Prime Furniture Product 0137,Home,Furniture,Prime,1327.53,3361.42
138,Zenith Personal Care Product 0138,Beauty,Personal Care,Zenith,1913.91,3419.22
139,Orion Phones Product 0139,Electronics,Phones,Orion,11393.91,26759.6
140,UrbanX Personal Care Product 0140,Beauty,Personal Care,UrbanX,684.35,1341.54
141,Nexa Sportswear Product 0141,Sports,Sportswear,Nexa,1038.04,2617.28
142,Mira Furniture Product 0142,Home,Furniture,Mira,7584.35,12406.57
143,Nexa Haircare Product 0143,Beauty,Haircare,Nexa,3232.5,8968.66
144,Aster Accessories Product 0144,Electronics,Accessories,Aster,37980.54,77109.6
145,Nova Makeup Product 0145,Beauty,Makeup,Nova,1159.25,2197.07
146,Nova Accessories Product 0146,Electronics,Accessories,Nova,15482.27,42863.04
147,Pulse Women Product 0147,Fashion,Women,Pulse,5338.26,9710.9
148,Orion Footwear Product 0148,Fashion,Footwear,Orion,1405.24,3067.31
149,Zenith Laptops Product 0149,Electronics,Laptops,Zenith,40314.54,80994.71
150,Pulse Outdoor Product 0150,Sports,Outdoor,Pulse,9584.84,19320.59
151,Pulse Fitness Product 0151,Sports,Fitness,Pulse,7061.31,17766.79
152,Nova Men Product 0152,Fashion,Men,Nova,5434.03,11634.9
153,Prime Accessories Product 0153,Electronics,Accessories,Prime,12615.22,27218.41
154,Nova Audio Product 0154,Electronics,Audio,Nova,44328.16,90177.2
155,Pulse Running Product 0155,Sports,Running,Pulse,7574.07,12348.38
156,Pulse Men Product 0156,Fashion,Men,Pulse,6051.74,15031.18
157,Pulse Running Product 0157,Sports,Running,Pulse,6496.2,14914.42
158,Prime Haircare Product 0158,Beauty,Haircare,Prime,2314.34,4172.2
159,UrbanX Fitness Product 0159,Sports,Fitness,UrbanX,5353.32,11833.42
160,Vertex Haircare Product 0160,Beauty,Haircare,Vertex,1609.97,3239.49
161,Pulse Fitness Product 0161,Sports,Fitness,Pulse,2769.64,7216.89
162,Zenith Running Product 0162,Sports,Running,Zenith,6136.68,10214.42
163,Nexa Haircare Product 0163,Beauty,Haircare,Nexa,1201.77,2245.65
164,Mira Personal Care Product 0164,Beauty,Personal Care,Mira,2557.15,4747.3
165,Aster Storage Product 0165,Home,Storage,Aster,10778.59,19573.94
166,Nova Audio Product 0166,Electronics,Audio,Nova,15253.44,23502.74
167,Pulse Decor Product 0167,Home,Decor,Pulse,7924.05,16432.65
168,Vertex Audio Product 0168,Electronics,Audio,Vertex,3089.24,4904.21
169,Orion Bags Product 0169,Fashion,Bags,Orion,4776.2,11683.13
170,Nova Decor Product 0170,Home,Decor,Nova,4321.41,10288.61
171,Nova Sportswear Product 0171,Sports,Sportswear,Nova,663.89,1268.97
172,UrbanX Storage Product 0172,Home,Storage,UrbanX,10450.88,25817.09
173,Nova Outdoor Product 0173,Sports,Outdoor,Nova,10558.14,19996.54
174,UrbanX Skincare Product 0174,Beauty,Skincare,UrbanX,1757.17,4031.88
175,Orion Audio Product 0175,Electronics,Audio,Orion,4621.85,8299.48
176,Orion Haircare Product 0176,Beauty,Haircare,Orion,281.78,710.61
177,Mira Audio Product 0177,Electronics,Audio,Mira,31509.33,85034.68
178,Aster Footwear Product 0178,Fashion,Footwear,Aster,1417.27,2853.65
179,Pulse Personal Care Product 0179,Beauty,Personal Care,Pulse,3145.54,5215.01
180,Nova Accessories Product 0180,Electronics,Accessories,Nova,31273.84,61476.94
181,Zenith Footwear Product 0181,Fashion,Footwear,Zenith,4099.88,7843.84
182,Mira Bags Product 0182,Fashion,Bags,Mira,748.49,1727.75
183,Orion Kitchen Product 0183,Home,Kitchen,Orion,10681.79,29161.08
184,UrbanX Footwear Product 0184,Fashion,Footwear,UrbanX,7576.42,11979.62
185,Nexa Laptops Product 0185,Electronics,Laptops,Nexa,25664.7,53004.96
186,Nexa Decor Product 0186,Home,Decor,Nexa,12499.54,21066.07
187,Zenith Outdoor Product 0187,Sports,Outdoor,Zenith,7683.51,19354.54
188,Pulse Audio Product 0188,Electronics,Audio,Pulse,6568.06,11764.85
189,Nexa Storage Product 0189,Home,Storage,Nexa,2332.09,5363.17
190,Zenith Footwear Product 0190,Fashion,Footwear,Zenith,5659.1,14073.83
191,UrbanX Personal Care Product 0191,Beauty,Personal Care,UrbanX,1665.47,3570.23
192,Nexa Women Product 0192,Fashion,Women,Nexa,1960.25,4473.79
193,Nexa Phones Product 0193,Electronics,Phones,Nexa,15233.67,23309.52
194,Nova Outdoor Product 0194,Sports,Outdoor,Nova,4628.32,10830.06
195,Nexa Fitness Product 0195,Sports,Fitness,Nexa,2783.55,6869.73
196,Prime Outdoor Product 0196,Sports,Outdoor,Prime,1461.05,2548.52
197,Prime Women Product 0197,Fashion,Women,Prime,7789.8,13191.41
198,Vertex Bags Product 0198,Fashion,Bags,Vertex,3894.83,9197.8
199,Pulse Haircare Product 0199,Beauty,Haircare,Pulse,4111.37,8024.7
200,Pulse Haircare Product 0200,Beauty,Haircare,Pulse,1689.59,3237.01
201,Nova Furniture Product 0201,Home,Furniture,Nova,5249.53,13107.71
202,Prime Storage Product 0202,Home,Storage,Prime,3965.1,8828.22
203,Nova Skincare Product 0203,Beauty,Skincare,Nova,1388.76,2365.54
204,Prime Bags Product 0204,Fashion,Bags,Prime,5325.31,12086.37
205,Pulse Bags Product 0205,Fashion,Bags,Pulse,691.74,1407.09
206,Nexa Personal Care Product 0206,Beauty,Personal Care,Nexa,2845.11,6283.04
207,Nexa Footwear Product 0207,Fashion,Footwear,Nexa,1576.06,2934.52
208,Pulse Laptops Product 0208,Electronics,Laptops,Pulse,30939.72,83611.95
209,UrbanX Women Product 0209,Fashion,Women,UrbanX,3192.84,6377.85
210,Zenith Makeup Product 0210,Beauty,Makeup,Zenith,4291.96,7067.66
211,Mira Accessories Product 0211,Electronics,Accessories,Mira,47892.49,84371.49
212,Orion Sportswear Product 0212,Sports,Sportswear,Orion,2080.17,4848.66
213,UrbanX Haircare Product 0213,Beauty,Haircare,UrbanX,4696.76,8384.42
214,Nexa Laptops Product 0214,Electronics,Laptops,Nexa,16999.42,32008.06
215,Nexa Decor Product 0215,Home,Decor,Nexa,11647.62,20381.3
216,Nexa Storage Product 0216,Home,Storage,Nexa,5204.45,9890.64
217,Zenith Makeup Product 0217,Beauty,Makeup,Zenith,1621.67,3162.18
218,Orion Makeup Product 0218,Beauty,Makeup,Orion,3378.85,7214.55
219,Vertex Bags Product 0219,Fashion,Bags,Vertex,4530.66,11388.9
220,Vertex Running Product 0220,Sports,Running,Vertex,3786.06,9543.37
221,Orion Skincare Product 0221,Beauty,Skincare,Orion,2125.56,3976.55
222,Mira Footwear Product 0222,Fashion,Footwear,Mira,1138.67,2362.83
223,UrbanX Laptops Product 0223,Electronics,Laptops,UrbanX,12060.5,30388.87
224,Aster Men Product 0224,Fashion,Men,Aster,5500.91,13837.65
225,Orion Sportswear Product 0225,Sports,Sportswear,Orion,2301.72,5319.79
226,Aster Women Product 0226,Fashion,Women,Aster,2630.36,6838.71
227,Nexa Personal Care Product 0227,Beauty,Personal Care,Nexa,2897.15,6260.4
228,Aster Women Product 0228,Fashion,Women,Aster,3134.78,4856.61
229,Mira Fitness Product 0229,Sports,Fitness,Mira,2578.4,4801.18
230,Nova Outdoor Product 0230,Sports,Outdoor,Nova,3989.75,8432.79
231,Prime Decor Product 0231,Home,Decor,Prime,9566.2,18230.99
232,Prime Furniture Product 0232,Home,Furniture,Prime,8388.72,21603.9
233,Prime Laptops Product 0233,Electronics,Laptops,Prime,41443.34,89217.12
234,Nova Sportswear Product 0234,Sports,Sportswear,Nova,2912.97,5725.09
235,Mira Accessories Product 0235,Electronics,Accessories,Mira,2461.18,4469.42
236,Pulse Accessories Product 0236,Electronics,Accessories,Pulse,4207.83,10738.05
237,Pulse Decor Product 0237,Home,Decor,Pulse,9951.29,18974.03
238,Pulse Running Product 0238,Sports,Running,Pulse,8704.19,23955.35
239,Mira Phones Product 0239,Electronics,Phones,Mira,34664.76,68796.64
240,Orion Makeup Product 0240,Beauty,Makeup,Orion,325.49,682.74
241,Vertex Laptops Product 0241,Electronics,Laptops,Vertex,6053.58,12129.42
242,Aster Laptops Product 0242,Electronics,Laptops,Aster,36199.8,68662.89
243,Vertex Storage Product 0243,Home,Storage,Vertex,5705.21,14374.7
244,UrbanX Running Product 0244,Sports,Running,UrbanX,3978.58,7349.36
245,Pulse Skincare Product 0245,Beauty,Skincare,Pulse,1637.86,3261.44
246,Vertex Decor Product 0246,Home,Decor,Vertex,7500.67,12618.58
247,UrbanX Haircare Product 0247,Beauty,Haircare,UrbanX,2147.3,3853.73
248,Aster Laptops Product 0248,Electronics,Laptops,Aster,25625.84,39817.78
249,Zenith Running Product 0249,Sports,Running,Zenith,514.57,1109.22
250,Vertex Accessories Product 0250,Electronics,Accessories,Vertex,49262.22,102637.99
251,Nexa Personal Care Product 0251,Beauty,Personal Care,Nexa,2284.64,3802.6
252,Vertex Makeup Product 0252,Beauty,Makeup,Vertex,419.56,658.24
253,Mira Sportswear Product 0253,Sports,Sportswear,Mira,8038.65,14547.67
254,Mira Outdoor Product 0254,Sports,Outdoor,Mira,9750.22,21047.46
255,Orion Women Product 0255,Fashion,Women,Orion,2073.53,4445.38
256,Aster Phones Product 0256,Electronics,Phones,Aster,36320.96,57746.08
257,Pulse Sportswear Product 0257,Sports,Sportswear,Pulse,10580.28,17226.73
258,Aster Sportswear Product 0258,Sports,Sportswear,Aster,4503.18,12802.31
259,Nova Haircare Product 0259,Beauty,Haircare,Nova,1414.32,2503.61
260,UrbanX Footwear Product 0260,Fashion,Footwear,UrbanX,5268.34,7882.42
261,Nova Phones Product 0261,Electronics,Phones,Nova,25171.72,56768.87
262,Zenith Kitchen Product 0262,Home,Kitchen,Zenith,15541.24,28678.53
263,Prime Furniture Product 0263,Home,Furniture,Prime,6753.82,11438.37
264,Pulse Laptops Product 0264,Electronics,Laptops,Pulse,2078.15,3250.66
265,Prime Running Product 0265,Sports,Running,Prime,8848.98,14279.89
266,Aster Audio Product 0266,Electronics,Audio,Aster,8590.98,16788.27
267,Pulse Sportswear Product 0267,Sports,Sportswear,Pulse,9114.77,17655.37
268,Orion Personal Care Product 0268,Beauty,Personal Care,Orion,656.32,1203.26
269,Orion Audio Product 0269,Electronics,Audio,Orion,27580.99,54755.02
270,Zenith Audio Product 0270,Electronics,Audio,Zenith,22845.18,56576.62
271,Nova Sportswear Product 0271,Sports,Sportswear,Nova,2232.6,4561.64
272,Mira Skincare Product 0272,Beauty,Skincare,Mira,3845.77,6811.11
273,Orion Haircare Product 0273,Beauty,Haircare,Orion,2011.46,5062.75
