return_id,order_id,order_item_id,return_date,return_qty,reason,refund_amount
1,2,4,2025-02-28,2,Size Issue,56740.62
2,3,6,2025-05-06,1,Not as Expected,11297.83
3,12,25,2025-04-02,1,Damaged,17257.41
4,18,43,2025-04-23,1,Size Issue,8384.42
5,28,63,2025-06-17,1,Changed Mind,1196.03
6,42,86,2025-08-06,2,Changed Mind,13334.78
7,54,108,2025-11-06,1,Changed Mind,9289.6
8,55,111,2025-08-12,1,Wrong Item,9071.06
9,77,152,2025-07-21,1,Not as Expected,2402.05
10,79,160,2025-10-05,1,Size Issue,4199.21
11,155,301,2025-12-09,2,Not as Expected,16788.58
12,158,309,2025-09-03,1,Changed Mind,18386.81
13,161,317,2025-08-17,1,Changed Mind,1884.8
14,170,335,2025-06-23,1,Changed Mind,6313.12
15,170,336,2025-06-04,1,Changed Mind,14615.07
16,177,348,2025-05-01,1,Wrong Item,13783.8
17,189,370,2025-11-01,2,Wrong Item,11269.27
18,191,374,2025-06-27,1,Not as Expected,17616.55
19,196,384,2025-08-27,1,Not as Expected,47843.8
20,232,459,2025-08-17,1,Changed Mind,76831.52
21,241,472,2025-07-26,1,Not as Expected,14905.38
22,245,481,2025-09-09,1,Damaged,13191.41
23,271,530,2025-08-29,2,Damaged,39626.18
24,285,564,2025-08-15,1,Damaged,12977.94
25,287,570,2025-02-05,1,Not as Expected,2013.34
26,293,580,2025-08-23,1,Not as Expected,7768.72
27,296,590,2025-11-29,1,Wrong Item,2087.22
28,305,608,2025-10-20,1,Damaged,65630.36
29,312,621,2025-11-04,1,Changed Mind,14642.72
30,312,622,2025-11-19,1,Changed Mind,65693.55
31,328,656,2025-03-18,2,Wrong Item,35009.38
32,330,662,2025-12-08,2,Changed Mind,14039.77
33,342,688,2025-02-26,1,Changed Mind,5199.03
34,362,734,2025-07-07,1,Size Issue,3435.24
35,388,790,2025-05-15,2,Wrong Item,127356.45
36,399,811,2025-11-01,1,Changed Mind,26522.53
37,404,824,2025-07-29,1,Wrong Item,77286.53
38,410,835,2025-12-02,2,Damaged,170069.36
39,432,877,2025-02-06,1,Not as Expected,6260.4
40,441,892,2025-05-05,1,Not as Expected,53425.19
41,443,895,2025-04-17,1,Changed Mind,2427.74
42,451,909,2025-08-23,1,Changed Mind,5009.97
43,475,967,2025-12-16,1,Changed Mind,13783.8
44,480,977,2025-10-03,1,Not as Expected,15571.42
45,487,988,2025-12-07,1,Changed Mind,72922.62
46,487,989,2025-12-08,1,Changed Mind,22144.04
47,489,993,2025-12-31,1,Wrong Item,4445.38
48,494,1007,2025-12-10,2,Not as Expected,11978.32
49,505,1032,2025-08-10,1,Changed Mind,1468.59
50,508,1038,2025-12-04,1,Wrong Item,6392.08
51,513,1048,2025-06-20,1,Wrong Item,2716.94
52,519,1059,2025-07-07,1,Damaged,17890.34
53,528,1075,2025-12-17,1,Damaged,24526.24
54,536,1088,2025-06-12,2,Changed Mind,7594.98
55,540,1100,2025-09-03,1,Size Issue,70088.86
56,541,1104,2025-07-18,1,Wrong Item,22802.0
57,546,1112,2025-08-16,2,Size Issue,10681.17
58,555,1129,2025-01-25,1,Changed Mind,6948.01
59,565,1153,2025-07-26,1,Changed Mind,3649.94
60,569,1161,2025-12-31,1,Changed Mind,29265.5
61,584,1190,2025-12-31,1,Size Issue,3604.02
62,594,1205,2025-05-25,1,Damaged,42740.15
63,610,1236,2025-08-26,2,Wrong Item,15352.54
64,631,1279,2025-12-05,1,Size Issue,36908.76
65,642,1302,2025-05-02,1,Changed Mind,53425.19
66,651,1323,2025-02-06,1,Changed Mind,25218.61
67,653,1328,2025-11-17,1,Not as Expected,15504.06
68,662,1347,2025-06-10,1,Not as Expected,63144.69
69,665,1356,2025-04-15,1,Not as Expected,69276.49
70,667,1362,2025-08-24,1,Not as Expected,26779.67
71,676,1383,2025-11-19,1,Size Issue,50753.93
72,684,1393,2025-11-25,1,Not as Expected,2306.36
73,729,1487,2025-06-03,1,Damaged,20477.41
74,731,1490,2025-12-31,1,Size Issue,51971.47
75,767,1563,2025-12-08,1,Changed Mind,16878.45
76,783,1603,2025-05-09,1,Not as Expected,3612.47
77,794,1621,2025-07-06,1,Not as Expected,1576.96
78,795,1628,2025-02-06,1,Not as Expected,682.74
79,800,1639,2025-05-20,1,Size Issue,942.84
80,814,1665,2025-06-20,1,Size Issue,5823.38
81,872,1777,2025-07-31,2,Not as Expected,35994.4
82,916,1865,2025-06-04,2,Not as Expected,34333.7
83,917,1871,2025-12-04,1,Wrong Item,13469.92
84,933,1905,2025-12-31,1,Not as Expected,6260.4
85,944,1930,2025-09-28,1,Not as Expected,14322.43
86,944,1931,2025-10-10,1,Changed Mind,16342.34
87,961,1962,2025-08-04,1,Wrong Item,12326.1
88,968,1976,2025-01-24,2,Not as Expected,23959.24
89,971,1982,2025-02-01,1,Changed Mind,6236.91
90,992,2023,2025-08-03,1,Not as Expected,3617.85
91,993,2025,2025-12-08,1,Changed Mind,65630.36
92,1003,2042,2025-01-16,1,Damaged,26972.35
93,1010,2054,2025-08-14,1,Not as Expected,19995.09
94,1037,2113,2025-02-20,2,Wrong Item,136643.85
95,1060,2159,2025-10-15,2,Size Issue,15949.15
96,1077,2188,2025-09-09,1,Size Issue,15381.02
97,1085,2200,2025-01-31,2,Wrong Item,53944.71
98,1100,2237,2025-11-30,1,Not as Expected,9988.83
99,1103,2246,2025-12-20,1,Not as Expected,22275.42
100,1109,2257,2025-06-20,1,Changed Mind,16363.62
101,1109,2258,2025-06-30,1,Not as Expected,56128.62
102,1113,2266,2025-02-26,1,Size Issue,2425.6
103,1117,2273,2025-12-31,2,Damaged,26736.78
104,1125,2290,2025-12-31,1,Wrong Item,15742.34
105,1127,2299,2025-06-15,1,Damaged,19818.17
106,1137,2322,2025-11-26,1,Not as Expected,17278.36
107,1168,2392,2025-12-31,1,Size Issue,5641.35
108,1179,2415,2025-11-10,2,Damaged,46271.3
109,1192,2442,2025-06-07,2,Size Issue,18411.1
110,1195,2449,2025-12-29,3,Damaged,126709.03
111,1200,2459,2025-05-18,1,Damaged,2047.25
112,1204,2473,2025-08-22,1,Not as Expected,648.6
113,1208,2482,2025-07-06,1,Damaged,3082.98
114,1232,2536,2025-04-21,1,Damaged,34805.92
115,1237,2544,2025-10-27,1,Wrong Item,8849.06
116,1239,2548,2025-12-31,1,Not as Expected,5257.17
117,1257,2579,2025-06-28,1,Not as Expected,18165.69
118,1261,2590,2025-02-17,1,Changed Mind,31505.5
119,1261,2591,2025-02-25,1,Not as Expected,3830.66
120,1271,2609,2025-05-25,1,Damaged,5077.22
121,1272,2613,2025-08-15,1,Wrong Item,3840.94
122,1324,2712,2025-04-20,1,Changed Mind,5966.08
123,1328,2724,2025-12-31,1,Damaged,2529.74
124,1336,2736,2025-10-22,1,Changed Mind,2453.85
125,1340,2745,2025-12-31,1,Size Issue,6007.76
126,1343,2751,2025-11-10,1,Size Issue,393.06
127,1360,2780,2025-03-01,1,Changed Mind,23309.52
128,1361,2783,2025-12-01,1,Damaged,42527.82
129,1363,2787,2025-12-31,1,Damaged,21944.53
130,1380,2817,2025-03-01,3,Damaged,9550.53
131,1386,2829,2025-11-15,1,Not as Expected,2219.87
132,1406,2868,2025-09-07,1,Not as Expected,34805.92
133,1419,2900,2025-04-15,1,Damaged,28014.89
134,1424,2909,2025-06-01,1,Changed Mind,61476.94
135,1456,2978,2025-08-23,3,Damaged,17069.11
136,1459,2982,2025-08-17,1,Not as Expected,67497.19
137,1463,2990,2025-08-24,1,Size Issue,9571.1
138,1472,3012,2025-03-13,1,Damaged,5154.02
139,1475,3022,2025-12-06,1,Changed Mind,2825.94
140,1486,3045,2025-03-04,1,Changed Mind,13713.8
141,1491,3058,2025-01-08,1,Changed Mind,11751.56
142,1504,3092,2025-07-20,1,Size Issue,1796.24
143,1534,3149,2025-04-06,1,Damaged,11728.56
144,1556,3195,2025-04-19,1,Changed Mind,23447.81
145,1558,3198,2025-06-05,2,Not as Expected,36441.78
146,1560,3202,2025-04-14,1,Size Issue,80152.92
147,1568,3216,2025-11-10,2,Damaged,8010.42
148,1581,3247,2025-12-28,1,Wrong Item,13322.41
149,1594,3267,2025-06-04,1,Size Issue,10725.79
150,1633,3351,2025-08-21,1,Wrong Item,9197.8
151,1647,3373,2025-03-23,1,Size Issue,13422.98
152,1648,3374,2025-11-21,1,Changed Mind,2913.94
153,1669,3415,2025-12-31,1,Size Issue,76531.21
154,1691,3464,2025-04-20,1,Size Issue,2710.97
155,1705,3502,2025-03-30,3,Wrong Item,28148.54
156,1710,3515,2025-11-15,1,Wrong Item,48082.67
157,1719,3530,2025-08-29,1,Wrong Item,22758.8
