month,revenue,contribution_profit,orders,customers,aov,mom_growth_pct
2025-01-01,300693127.5595,129542941.2895,5841,4529,51479.7342166581,
2025-02-01,247183821.036,105460388.226,4835,3902,51123.851300103415,-17.795320750359267
2025-03-01,270875286.571,115172600.091,5361,4263,50527.007381272146,9.584553485622148
2025-04-01,258665327.367,110111002.077,5161,4057,50119.226383840345,-4.5075943835871435
2025-05-01,297030669.5425,127536441.4725,5937,4585,50030.43111714671,14.832038977170846
2025-06-01,259262380.0765,110887718.5865,5176,4128,50089.33154491886,-12.715282743082534
2025-07-01,296273882.6885,127609709.3785,5883,4498,50361.02034480707,14.275693450426207
2025-08-01,270587912.8795,116349723.3595,5382,4233,50276.460958658485,-8.669670635803573
2025-09-01,266580393.52199998,114157742.142,5192,4092,51344.45175693374,-1.4810415272631383
2025-10-01,369526538.778,158197411.208,7326,5326,50440.42298361998,38.6172981050477
2025-11-01,356501340.199,151365431.55900002,7055,5193,50531.72788079376,-3.5248344062305925
2025-12-01,374373341.91899997,160719729.929,7288,5334,51368.46074629528,5.013165367070926
