product_id,product_name,category,units_sold,net_sales,cogs,gross_profit,gross_margin_pct
1,Mira Phones Product 0001,Electronics,253,10089288.895,5435128.16,4654160.734999999,46.12972017588361
2,Aster Accessories Product 0002,Electronics,84,430793.6175,249228.0,181565.6175,42.14677518986223
3,Vertex Sportswear Product 0003,Sports,112,79694.315,54037.76,25656.555,32.19370792006933
4,Mira Makeup Product 0004,Beauty,80,93059.4195,49043.2,44016.21950000001,47.299048002335766
5,Aster Footwear Product 0005,Fashion,273,801844.05,410911.41000000003,390932.64,48.75419852526186
6,Prime Outdoor Product 0006,Sports,579,5650044.5165,3145625.94,2504418.5765,44.32564326150474
7,UrbanX Kitchen Product 0007,Home,337,5313302.763,2903629.0700000003,2409673.693,45.35171061171467
8,Prime Men Product 0008,Fashion,93,916455.7335000001,424688.22,491767.5135000001,53.65971268703946
9,Pulse Running Product 0009,Sports,246,2617112.9775,1520356.26,1096756.7175,41.9071215850864
10,Vertex Outdoor Product 0010,Sports,1250,6634868.0030000005,3428937.5,3205930.5030000005,48.31943154785321
11,Prime Outdoor Product 0011,Sports,564,8631812.761,3595928.64,5035884.120999999,58.340979588354614
12,Nova Sportswear Product 0012,Sports,94,590163.6785,371143.96,219019.71850000002,37.11169061719883
13,UrbanX Accessories Product 0013,Electronics,465,36714130.698,23998612.8,12715517.897999998,34.63385256917625
14,Pulse Outdoor Product 0014,Sports,1117,19914867.8505,7740932.869999999,12173934.9805,61.129880810102144
15,Nexa Women Product 0015,Fashion,186,1988171.4125,1252590.96,735580.4525000001,36.99783871125348
16,Prime Kitchen Product 0016,Home,106,2098273.572,1248871.8599999999,849401.7120000003,40.480980332339634
17,Aster Women Product 0017,Fashion,392,4476453.29,2544668.0,1931785.29,43.154371661052224
18,Orion Running Product 0018,Sports,338,6450933.099,4279647.84,2171285.2590000005,33.658468095671076
19,Mira Furniture Product 0019,Home,138,3384763.92,2236134.06,1148629.8599999999,33.935302052026124
20,Nova Furniture Product 0020,Home,362,417024.1835,269671.9,147352.28349999996,35.33422984329156
21,Nova Laptops Product 0021,Electronics,172,979948.321,440961.56,538986.7609999999,55.0015495153851
22,Prime Furniture Product 0022,Home,634,10235418.21,7016909.12,3218509.090000001,31.444822516929676
23,Pulse Accessories Product 0023,Electronics,308,21600062.661000002,11309920.159999998,10290142.501000004,47.639410415134456
24,UrbanX Phones Product 0024,Electronics,68,3284817.2875,1561025.0,1723792.2875,52.4775698806657
25,Mira Haircare Product 0025,Beauty,97,466630.956,175073.36000000002,291557.596,62.48140897021843
26,Vertex Phones Product 0026,Electronics,301,8206135.704,4825303.91,3380831.7939999998,41.19882872948404
27,Aster Decor Product 0027,Home,162,1760022.15,981072.0,778950.1499999999,44.257974253335384
28,Orion Sportswear Product 0028,Sports,129,324423.5725,217230.84,107192.73250000001,33.04098147800281
29,Nexa Sportswear Product 0029,Sports,262,805593.992,577547.56,228046.4319999999,28.307861561112528
30,UrbanX Laptops Product 0030,Electronics,183,3240438.605,1921353.6,1319085.005,40.70698957124663
31,Mira Outdoor Product 0031,Sports,87,903557.2890000001,455364.96,448192.3290000001,49.60308930671467
32,Pulse Bags Product 0032,Fashion,115,929799.4495,429226.0,500573.4495,53.83671175210778
33,Pulse Women Product 0033,Fashion,255,1356384.1800000002,558251.1,798133.0800000002,58.8427004508413
34,Nexa Men Product 0034,Fashion,449,930821.738,456305.23,474516.50800000003,50.97823660839344
