month,net_revenue,contribution_profit,orders,aov
2025-01,300693127.5595,129542941.2895,5841,51479.7342166581
2025-02,247183821.036,105460388.226,4835,51123.851300103415
2025-03,270875286.571,115172600.091,5361,50527.007381272146
2025-04,258665327.367,110111002.077,5161,50119.226383840345
2025-05,297030669.5425,127536441.4725,5937,50030.43111714671
2025-06,259262380.0765,110887718.5865,5176,50089.33154491886
2025-07,296273882.6885,127609709.3785,5883,50361.02034480707
2025-08,270587912.8795,116349723.3595,5382,50276.460958658485
2025-09,266580393.52199998,114157742.142,5192,51344.45175693374
2025-10,369526538.778,158197411.208,7326,50440.42298361998
2025-11,356501340.199,151365431.55900002,7055,50531.72788079376
2025-12,374373341.91899997,160719729.929,7288,51368.46074629528
